Label,lumMean,lumSD,area,lwMean,lwSD,mwMean,mwSD,swMean,swSD
keimoes1_bromfeldii.insularis_XV/2355_2358_c1,0.126923837,0.046357065,15.62653643,0.142779559,0.048334155,0.111068115,0.044813104,0.063471916,0.033964113
keimoes1_bromfeldii.insularis_XV/2355_2358_c2,0.152166619,0.056595329,24.87954374,0.172680344,0.060073616,0.131652894,0.053524254,0.071098025,0.032926408
keimoes1_bromfeldii.insularis_XV/2355_2358_c3,0.123067527,0.054216377,36.48923269,0.141844788,0.056626274,0.104290265,0.052053529,0.055158738,0.032867538
keimoes1_bromfeldii.insularis_XV/2355_2358_c4,0.123067527,0.054216377,36.48923269,0.141844788,0.056626274,0.104290265,0.052053529,0.055158738,0.032867538
keimoes1_bromfeldii.insularis_XV/2355_2358_p1,0.237455499,0.071558581,66.09525058,0.253185153,0.073246476,0.221725846,0.070204038,0.147880837,0.053081841
keimoes1_bromfeldii.insularis_XV/2355_2358_p2,0.26544886,0.07477086,48.5168311,0.282845376,0.078797349,0.248052343,0.071040998,0.151696589,0.046755085
keimoes1_bromfeldii.insularis_XV/2355_2358_p3,0.331132221,0.12911911,651.6323052,0.349004823,0.134821225,0.313259619,0.123550325,0.218419214,0.080692203
keimoes1_bromfeldii.insularis_XV/2355_2358_p4,0.331132221,0.12911911,651.6323052,0.349004823,0.134821225,0.313259619,0.123550325,0.218419214,0.080692203
keimoes1_bromfeldii.insularis_XV/2355_2358_p5,0.331132221,0.12911911,651.6323052,0.349004823,0.134821225,0.313259619,0.123550325,0.218419214,0.080692203
keimoes1_bromfeldii.insularis_XV/2361_2364_a1,0.133637945,0.058967906,52.44438942,0.150463952,0.063262847,0.116811937,0.054930856,0.063091573,0.026787984
keimoes1_bromfeldii.insularis_XV/2361_2364_a2,0.087919891,0.044681043,72.62554506,0.097978645,0.047014831,0.077861137,0.042524456,0.043568191,0.026323675
keimoes1_bromfeldii.insularis_XV/2361_2364_a3,0.090015832,0.056489444,51.66295378,0.100625805,0.060555254,0.079405858,0.052548886,0.039011149,0.027918211
keimoes1_bromfeldii.insularis_XV/2361_2364_b1,0.280142322,0.109111065,807.8497104,0.294759157,0.111577525,0.265525486,0.107064545,0.172929348,0.079484199
keimoes1_bromfeldii.insularis_XV/2361_2364_b10,0.081517233,0.052747637,3249.501843,0.09127638,0.056791336,0.071758085,0.048936562,0.047273157,0.03031391
keimoes1_bromfeldii.insularis_XV/2361_2364_b11,0.099144199,0.056896023,187.7302409,0.110458776,0.060334819,0.087829623,0.053625146,0.051631503,0.032428154
keimoes1_bromfeldii.insularis_XV/2361_2364_b2,0.139591994,0.032601225,2.150882252,0.153096002,0.034115669,0.126087987,0.031935872,0.072464756,0.025281171
keimoes1_bromfeldii.insularis_XV/2361_2364_b3,0.14443441,0.04900429,14.15094834,0.160665306,0.051505336,0.128203514,0.046789014,0.07747883,0.03305169
keimoes1_bromfeldii.insularis_XV/2361_2364_b4,0.181024598,0.065946506,147.3153181,0.186559029,0.068179987,0.175490167,0.063874656,0.140691437,0.047003181
keimoes1_bromfeldii.insularis_XV/2361_2364_b5,0.173882655,0.051266971,104.4168227,0.181261895,0.053341749,0.166503416,0.049432536,0.123057799,0.036809623
keimoes1_bromfeldii.insularis_XV/2361_2364_b6,0.141627566,0.043858629,12.09909952,0.152765926,0.045945388,0.130489206,0.042081038,0.082583516,0.028990629
